Category,Title,Timer,Text,Option 1,Option 1 success,Option 1 Fail,Option 2,Option 2 Success,Option 2 Fail,O1 Success Stamina change,O1 Success Stress change,O1 Success Cash Change,O1 Success Grades change,O1 Success Crimes change,O1 Success Time cost (min),O1 Fail Stamina change,O1 Fail Stress change,O1 Fail Cash Change,O1 Fail Grades change,O1 Fail Crimes change,O1 Fail Time cost (min),O2 Success Stamina change,O2 Success Stress change,O2 Success Cash Change,O2 Success Grades change,O2 Success Crimes change,O2 Success Time cost (min),O2 Fail Stamina change,O2 Fail Stress change,O2 Fail Cash Change,O2 Fail Grades change,O2 Fail Crimes change,O2 Fail Time cost (min),Skip Stamina change,Skip Stress change,Skip Cash Change,Skip Grades change,Skip Crimes change,Skip Time cost (min)
,,"0 means none, DD:HH:MM",,,,,,,,scale 0 - 100,scale 0 - infinity,"pounds, 0 - infinity",percent 0-100,scale 0 - infinity,minutes,scale 0 - 100,scale 0 - infinity,"pounds, 0 - infinity",percent 0-100,scale 0 - infinity,minutes,scale 0 - 100,scale 0 - infinity,"pounds, 0 - infinity",percent 0-100,scale 0 - infinity,minutes,scale 0 - 100,scale 0 - infinity,"pounds, 0 - infinity",percent 0-100,scale 0 - infinity,minutes,scale 0 - 100,scale 0 - infinity,"pounds, 0 - infinity",percent 0-100,scale 0 - infinity,minutes
Uni,Write Essay,5:00:00,You have a 3000 word essay to write.,You do the work to the best of your abilitites to get a good grade.,"The feedback is short and satisfying, your score is one of the best in the year.","Despite your efforts, you can't concentrate, and the end result isn't up to scratch",,,,-50,10,0,10,0,300,-50,15,0,0,0,300,,,,,,,,,,,,,0,5,0,-10,0,0
Uni,Study,0,"There is always something to catch up on. You should put some Uni work in, so you stay on top of things.","Work for 2 hours, catch up on some reading to be done.",It's an interesting read and you make good progress. Reminds you why you chose this course.,"You have trouble concentrating on the text, your mind wonders on other problems. After you finish, you don't remember too much of what you read.",,,,-10,0,0,10,0,120,-10,0,0,5,0,120,,,,,,,,,,,,,0,0,0,0,0,0
Uni,Group Project 1,7:00:00,"You have a group project to work on at Uni. They seem like a competent bunch, but no-one is taking chagre and you are all a bit disorganzied.","Take charge. If you can beat up a bunch of criminals daily, surely you can keep your group on task.","You speak up. Ask important questions, delegate tasks, schedule the next meeting. The earlier indecision is gone, you are getting things done. You feel proud, but you also feel the extra pressure.","You speak up. Ask important questions, delegate tasks, schedule the next meeting. Progress is made, but you feel like the others are just going along. It is better than before, but now you have a group to manage, and everyone is expecting the solutions from you. Great.",,,,-20,10,0,10,0,120,-20,15,0,0,0,120,,,,,,,,,,,,,0,0,0,-20,0,0
Uni,Group Project 2,7:00:00,"In your group project, one of your team members isn't pulling their weight. He has been late on his agreed task for a week now, and this is holding you up.","Confront him. Ask what is causing him to be so behind, and if he can deliver it in the near future. ","After messaging him about the problem, he admits that he hasn't been doing what he promised. He explains that he has had money problems, and he must work full time to not lose his apartment. He promises to finish up with his task and send it. You are pleasantly surprised when he send it over a few hours later.","You message him about it, but he quickly gets defensive. You must have been too accusatory in your message. You are pretty sure the rest of the team will have to do his job too.",,,,-15,5,0,10,0,60,-15,10,0,-5,0,60,,,,,,,,,,,,,0,0,0,-20,0,0
Uni,Group Project 3,7:00:00,"The project is almost finished, but the deadline is tomorrow. You could wrap up your part in a few hours, or pull an all-nighter to achieve a much higher quality.",Pull an all-nighter. You really need a good grade.,"You are exhausted, but it was worth it. You put everything you had into this, and the result speaks for itself.","You are exhausted, and have been for hours. As a result the extra work didn't exactly translate better quality. You probably would have been better off just sleeping.",,,,-50,0,0,10,0,480,-50,0,0,0,0,480,,,,,,,,,,,,,0,0,0,-20,0,0
Uni,Attend Lecture,1:00:00,"Although not mandatory, the lectures are extremely helpful and provide a significant amount of the knowledge required to pass.",Go and pay attention to the lecturer.,You listen to every word spoken carefully and take detailed and organized notes.,You were up all night fighting crime and were just too exhausted to pay attention.,,,,-10,0,0,5,0,60,-15,0,0,-5,0,60,,,,,,,,,,,,,0,0,0,-5,0,0
Uni,Sit an Exam,3:00:00,"Exam time! This is a big part of your grade, so you must do well!",Try to ace the exam!,Excellent work! You answered all questions and are pretty happy with yourself!,The crime levels in the city prevented you from revising enough... the stress didn't help much as well.,,,,-10,0,0,15,0,150,-15,0,0,-10,0,150,,,,,,,,,,,,,0,0,0,-15,0,0
Uni,Meet Personal Tutor,1:00:00,Meeting regularly with your personal tutor is important to stay ahead of all university work and ensure you meet all deadlines.,Go to the meeting.,The meeting went very well! You discussed all modules in great detail and are confident you're not going to struggle with them.,"The meeting wasn't very helpful. Although the tutor is doing their best to help, they couldn't possibly understand your struggles and you can't let them know who you really are...",,,,-10,0,0,5,0,60,-10,0,0,-5,0,60,,,,,,,,,,,,,0,0,0,-5,0,0
Uni,Help Classmate,2:00:00,A classmate has asked you for help with a module.,Help them out.,You understand the subject well and explain everything in a patient manner. Your friend seems to get it.,"Your friend is under a lot of stress too, perhaps it will be better for them to seek out help from a lecturer or even the Wellbeing team.",,,,-10,0,0,5,0,90,-10,0,0,0,0,90,,,,,,,,,,,,,0,0,0,0,0,0
Uni,Do Homework,1:00:00,A lot of individual work needs to be put into each module. You won't pass by just attending the lectures!,Spend 2 hours to get the homework done.,"Good thing you listened carefully in the lecture, otherwise this homework would have been much more difficult!",They must have taught this in the lecture you skipped because you were out fighting crime... ,,,,-10,0,0,5,0,120,-10,0,0,-5,0,120,,,,,,,,,,,,,0,0,0,-10,0,0
Uni,Attend Lecture,1:00:00,"Although not mandatory, the lectures are extremely helpful and provide a significant amount of the knowledge required to pass.",Go and pay attention to the lecturer.,You listen to every word spoken carefully and take detailed and organized notes.,You were up all night fighting crime and were just too exhausted to pay attention.,,,,-10,0,0,5,0,60,-15,0,0,-5,0,60,,,,,,,,,,,,,0,0,0,-5,0,0
Uni,Study,0,"There is always something to catch up on. You should put some Uni work in, so you stay on top of things.","Work for 2 hours, catch up on some reading to be done.",It's an interesting read and you make good progress. Reminds you why you chose this course.,"You have trouble concentrating on the text, your mind wonders on other problems. After you finish, you don't remember too much of what you read.",,,,-10,0,0,10,0,120,-10,0,0,5,0,120,,,,,,,,,,,,,0,0,0,0,0,0
Uni,Do Homework,1:00:00,A lot of individual work needs to be put into each module. You won't pass by just attending the lectures!,Spend 2 hours to get the homework done.,"Good thing you listened carefully in the lecture, otherwise this homework would have been much more difficult!",They must have taught this in the lecture you skipped because you were out fighting crime... ,,,,-10,0,0,5,0,120,-10,0,0,-5,0,120,,,,,,,,,,,,,0,0,0,-10,0,0
Uni,Attend Lecture,1:00:00,"Although not mandatory, the lectures are extremely helpful and provide a significant amount of the knowledge required to pass.",Go and pay attention to the lecturer.,You listen to every word spoken carefully and take detailed and organized notes.,You were up all night fighting crime and were just too exhausted to pay attention.,,,,-10,0,0,5,0,60,-15,0,0,-5,0,60,,,,,,,,,,,,,0,0,0,-5,0,0
Uni,Study,0,"There is always something to catch up on. You should put some Uni work in, so you stay on top of things.","Work for 2 hours, catch up on some reading to be done.",It's an interesting read and you make good progress. Reminds you why you chose this course.,"You have trouble concentrating on the text, your mind wonders on other problems. After you finish, you don't remember too much of what you read.",,,,-10,0,0,10,0,120,-10,0,0,5,0,120,,,,,,,,,,,,,0,0,0,0,0,0
Uni,Do Homework,1:00:00,A lot of individual work needs to be put into each module. You won't pass by just attending the lectures!,Spend 2 hours to get the homework done.,"Good thing you listened carefully in the lecture, otherwise this homework would have been much more difficult!",They must have taught this in the lecture you skipped because you were out fighting crime... ,,,,-10,0,0,5,0,120,-10,0,0,-5,0,120,,,,,,,,,,,,,0,0,0,-10,0,0
Uni,Attend Lecture,1:00:00,"Although not mandatory, the lectures are extremely helpful and provide a significant amount of the knowledge required to pass.",Go and pay attention to the lecturer.,You listen to every word spoken carefully and take detailed and organized notes.,You were up all night fighting crime and were just too exhausted to pay attention.,,,,-10,0,0,5,0,60,-15,0,0,-5,0,60,,,,,,,,,,,,,0,0,0,-5,0,0
Uni,Study,0,"There is always something to catch up on. You should put some Uni work in, so you stay on top of things.","Work for 2 hours, catch up on some reading to be done.",It's an interesting read and you make good progress. Reminds you why you chose this course.,"You have trouble concentrating on the text, your mind wonders on other problems. After you finish, you don't remember too much of what you read.",,,,-10,0,0,10,0,120,-10,0,0,5,0,120,,,,,,,,,,,,,0,0,0,0,0,0
Uni,Do Homework,1:00:00,A lot of individual work needs to be put into each module. You won't pass by just attending the lectures!,Spend 2 hours to get the homework done.,"Good thing you listened carefully in the lecture, otherwise this homework would have been much more difficult!",They must have taught this in the lecture you skipped because you were out fighting crime... ,,,,-10,0,0,5,0,120,-10,0,0,-5,0,120,,,,,,,,,,,,,0,0,0,-10,0,0
Uni,Attend Lecture,1:00:00,"Although not mandatory, the lectures are extremely helpful and provide a significant amount of the knowledge required to pass.",Go and pay attention to the lecturer.,You listen to every word spoken carefully and take detailed and organized notes.,You were up all night fighting crime and were just too exhausted to pay attention.,,,,-10,0,0,5,0,60,-15,0,0,-5,0,60,,,,,,,,,,,,,0,0,0,-5,0,0
Uni,Study,0,"There is always something to catch up on. You should put some Uni work in, so you stay on top of things.","Work for 2 hours, catch up on some reading to be done.",It's an interesting read and you make good progress. Reminds you why you chose this course.,"You have trouble concentrating on the text, your mind wonders on other problems. After you finish, you don't remember too much of what you read.",,,,-10,0,0,10,0,120,-10,0,0,5,0,120,,,,,,,,,,,,,0,0,0,0,0,0
Uni,Do Homework,1:00:00,A lot of individual work needs to be put into each module. You won't pass by just attending the lectures!,Spend 2 hours to get the homework done.,"Good thing you listened carefully in the lecture, otherwise this homework would have been much more difficult!",They must have taught this in the lecture you skipped because you were out fighting crime... ,,,,-10,0,0,5,0,120,-10,0,0,-5,0,120,,,,,,,,,,,,,0,0,0,-10,0,0
Uni,Attend Lecture,1:00:00,"Although not mandatory, the lectures are extremely helpful and provide a significant amount of the knowledge required to pass.",Go and pay attention to the lecturer.,You listen to every word spoken carefully and take detailed and organized notes.,You were up all night fighting crime and were just too exhausted to pay attention.,,,,-10,0,0,5,0,60,-15,0,0,-5,0,60,,,,,,,,,,,,,0,0,0,-5,0,0
Uni,Study,0,"There is always something to catch up on. You should put some Uni work in, so you stay on top of things.","Work for 2 hours, catch up on some reading to be done.",It's an interesting read and you make good progress. Reminds you why you chose this course.,"You have trouble concentrating on the text, your mind wonders on other problems. After you finish, you don't remember too much of what you read.",,,,-10,0,0,10,0,120,-10,0,0,5,0,120,,,,,,,,,,,,,0,0,0,0,0,0
Uni,Do Homework,1:00:00,A lot of individual work needs to be put into each module. You won't pass by just attending the lectures!,Spend 2 hours to get the homework done.,"Good thing you listened carefully in the lecture, otherwise this homework would have been much more difficult!",They must have taught this in the lecture you skipped because you were out fighting crime... ,,,,-10,0,0,5,0,120,-10,0,0,-5,0,120,,,,,,,,,,,,,0,0,0,-10,0,0
Uni,Attend Lecture,1:00:00,"Although not mandatory, the lectures are extremely helpful and provide a significant amount of the knowledge required to pass.",Go and pay attention to the lecturer.,You listen to every word spoken carefully and take detailed and organized notes.,You were up all night fighting crime and were just too exhausted to pay attention.,,,,-10,0,0,5,0,60,-15,0,0,-5,0,60,,,,,,,,,,,,,0,0,0,-5,0,0
Uni,Study,0,"There is always something to catch up on. You should put some Uni work in, so you stay on top of things.","Work for 2 hours, catch up on some reading to be done.",It's an interesting read and you make good progress. Reminds you why you chose this course.,"You have trouble concentrating on the text, your mind wonders on other problems. After you finish, you don't remember too much of what you read.",,,,-10,0,0,10,0,120,-10,0,0,5,0,120,,,,,,,,,,,,,0,0,0,0,0,0
Uni,Do Homework,1:00:00,A lot of individual work needs to be put into each module. You won't pass by just attending the lectures!,Spend 2 hours to get the homework done.,"Good thing you listened carefully in the lecture, otherwise this homework would have been much more difficult!",They must have taught this in the lecture you skipped because you were out fighting crime... ,,,,-10,0,0,5,0,120,-10,0,0,-5,0,120,,,,,,,,,,,,,0,0,0,-10,0,0
Uni,Attend Lecture,1:00:00,"Although not mandatory, the lectures are extremely helpful and provide a significant amount of the knowledge required to pass.",Go and pay attention to the lecturer.,You listen to every word spoken carefully and take detailed and organized notes.,You were up all night fighting crime and were just too exhausted to pay attention.,,,,-10,0,0,5,0,60,-15,0,0,-5,0,60,,,,,,,,,,,,,0,0,0,-5,0,0
Uni,Study,0,"There is always something to catch up on. You should put some Uni work in, so you stay on top of things.","Work for 2 hours, catch up on some reading to be done.",It's an interesting read and you make good progress. Reminds you why you chose this course.,"You have trouble concentrating on the text, your mind wonders on other problems. After you finish, you don't remember too much of what you read.",,,,-10,0,0,10,0,120,-10,0,0,5,0,120,,,,,,,,,,,,,0,0,0,0,0,0
Uni,Do Homework,1:00:00,A lot of individual work needs to be put into each module. You won't pass by just attending the lectures!,Spend 2 hours to get the homework done.,"Good thing you listened carefully in the lecture, otherwise this homework would have been much more difficult!",They must have taught this in the lecture you skipped because you were out fighting crime... ,,,,-10,0,0,5,0,120,-10,0,0,-5,0,120,,,,,,,,,,,,,0,0,0,-10,0,0
Uni,Attend Lecture,1:00:00,"Although not mandatory, the lectures are extremely helpful and provide a significant amount of the knowledge required to pass.",Go and pay attention to the lecturer.,You listen to every word spoken carefully and take detailed and organized notes.,You were up all night fighting crime and were just too exhausted to pay attention.,,,,-10,0,0,5,0,60,-15,0,0,-5,0,60,,,,,,,,,,,,,0,0,0,-5,0,0
Uni,Study,0,"There is always something to catch up on. You should put some Uni work in, so you stay on top of things.","Work for 2 hours, catch up on some reading to be done.",It's an interesting read and you make good progress. Reminds you why you chose this course.,"You have trouble concentrating on the text, your mind wonders on other problems. After you finish, you don't remember too much of what you read.",,,,-10,0,0,10,0,120,-10,0,0,5,0,120,,,,,,,,,,,,,0,0,0,0,0,0
Uni,Do Homework,1:00:00,A lot of individual work needs to be put into each module. You won't pass by just attending the lectures!,Spend 2 hours to get the homework done.,"Good thing you listened carefully in the lecture, otherwise this homework would have been much more difficult!",They must have taught this in the lecture you skipped because you were out fighting crime... ,,,,-10,0,0,5,0,120,-10,0,0,-5,0,120,,,,,,,,,,,,,0,0,0,-10,0,0
Uni,Attend Lecture,1:00:00,"Although not mandatory, the lectures are extremely helpful and provide a significant amount of the knowledge required to pass.",Go and pay attention to the lecturer.,You listen to every word spoken carefully and take detailed and organized notes.,You were up all night fighting crime and were just too exhausted to pay attention.,,,,-10,0,0,5,0,60,-15,0,0,-5,0,60,,,,,,,,,,,,,0,0,0,-5,0,0
Uni,Study,0,"There is always something to catch up on. You should put some Uni work in, so you stay on top of things.","Work for 2 hours, catch up on some reading to be done.",It's an interesting read and you make good progress. Reminds you why you chose this course.,"You have trouble concentrating on the text, your mind wonders on other problems. After you finish, you don't remember too much of what you read.",,,,-10,0,0,10,0,120,-10,0,0,5,0,120,,,,,,,,,,,,,0,0,0,0,0,0
Uni,Do Homework,1:00:00,A lot of individual work needs to be put into each module. You won't pass by just attending the lectures!,Spend 2 hours to get the homework done.,"Good thing you listened carefully in the lecture, otherwise this homework would have been much more difficult!",They must have taught this in the lecture you skipped because you were out fighting crime... ,,,,-10,0,0,5,0,120,-10,0,0,-5,0,120,,,,,,,,,,,,,0,0,0,-10,0,0
Uni,Attend Lecture,1:00:00,"Although not mandatory, the lectures are extremely helpful and provide a significant amount of the knowledge required to pass.",Go and pay attention to the lecturer.,You listen to every word spoken carefully and take detailed and organized notes.,You were up all night fighting crime and were just too exhausted to pay attention.,,,,-10,0,0,5,0,60,-15,0,0,-5,0,60,,,,,,,,,,,,,0,0,0,-5,0,0
Uni,Study,0,"There is always something to catch up on. You should put some Uni work in, so you stay on top of things.","Work for 2 hours, catch up on some reading to be done.",It's an interesting read and you make good progress. Reminds you why you chose this course.,"You have trouble concentrating on the text, your mind wonders on other problems. After you finish, you don't remember too much of what you read.",,,,-10,0,0,10,0,120,-10,0,0,5,0,120,,,,,,,,,,,,,0,0,0,0,0,0
Uni,Do Homework,1:00:00,A lot of individual work needs to be put into each module. You won't pass by just attending the lectures!,Spend 2 hours to get the homework done.,"Good thing you listened carefully in the lecture, otherwise this homework would have been much more difficult!",They must have taught this in the lecture you skipped because you were out fighting crime... ,,,,-10,0,0,5,0,120,-10,0,0,-5,0,120,,,,,,,,,,,,,0,0,0,-10,0,0
Uni,Attend Lecture,1:00:00,"Although not mandatory, the lectures are extremely helpful and provide a significant amount of the knowledge required to pass.",Go and pay attention to the lecturer.,You listen to every word spoken carefully and take detailed and organized notes.,You were up all night fighting crime and were just too exhausted to pay attention.,,,,-10,0,0,5,0,60,-15,0,0,-5,0,60,,,,,,,,,,,,,0,0,0,-5,0,0
Uni,Study,0,"There is always something to catch up on. You should put some Uni work in, so you stay on top of things.","Work for 2 hours, catch up on some reading to be done.",It's an interesting read and you make good progress. Reminds you why you chose this course.,"You have trouble concentrating on the text, your mind wonders on other problems. After you finish, you don't remember too much of what you read.",,,,-10,0,0,10,0,120,-10,0,0,5,0,120,,,,,,,,,,,,,0,0,0,0,0,0
Uni,Do Homework,1:00:00,A lot of individual work needs to be put into each module. You won't pass by just attending the lectures!,Spend 2 hours to get the homework done.,"Good thing you listened carefully in the lecture, otherwise this homework would have been much more difficult!",They must have taught this in the lecture you skipped because you were out fighting crime... ,,,,-10,0,0,5,0,120,-10,0,0,-5,0,120,,,,,,,,,,,,,0,0,0,-10,0,0
Uni,Attend Lecture,1:00:00,"Although not mandatory, the lectures are extremely helpful and provide a significant amount of the knowledge required to pass.",Go and pay attention to the lecturer.,You listen to every word spoken carefully and take detailed and organized notes.,You were up all night fighting crime and were just too exhausted to pay attention.,,,,-10,0,0,5,0,60,-15,0,0,-5,0,60,,,,,,,,,,,,,0,0,0,-5,0,0
Uni,Study,0,"There is always something to catch up on. You should put some Uni work in, so you stay on top of things.","Work for 2 hours, catch up on some reading to be done.",It's an interesting read and you make good progress. Reminds you why you chose this course.,"You have trouble concentrating on the text, your mind wonders on other problems. After you finish, you don't remember too much of what you read.",,,,-10,0,0,10,0,120,-10,0,0,5,0,120,,,,,,,,,,,,,0,0,0,0,0,0
Uni,Do Homework,1:00:00,A lot of individual work needs to be put into each module. You won't pass by just attending the lectures!,Spend 2 hours to get the homework done.,"Good thing you listened carefully in the lecture, otherwise this homework would have been much more difficult!",They must have taught this in the lecture you skipped because you were out fighting crime... ,,,,-10,0,0,5,0,120,-10,0,0,-5,0,120,,,,,,,,,,,,,0,0,0,-10,0,0
Uni,Attend Lecture,1:00:00,"Although not mandatory, the lectures are extremely helpful and provide a significant amount of the knowledge required to pass.",Go and pay attention to the lecturer.,You listen to every word spoken carefully and take detailed and organized notes.,You were up all night fighting crime and were just too exhausted to pay attention.,,,,-10,0,0,5,0,60,-15,0,0,-5,0,60,,,,,,,,,,,,,0,0,0,-5,0,0
Uni,Study,0,"There is always something to catch up on. You should put some Uni work in, so you stay on top of things.","Work for 2 hours, catch up on some reading to be done.",It's an interesting read and you make good progress. Reminds you why you chose this course.,"You have trouble concentrating on the text, your mind wonders on other problems. After you finish, you don't remember too much of what you read.",,,,-10,0,0,10,0,120,-10,0,0,5,0,120,,,,,,,,,,,,,0,0,0,0,0,0
Uni,Do Homework,1:00:00,A lot of individual work needs to be put into each module. You won't pass by just attending the lectures!,Spend 2 hours to get the homework done.,"Good thing you listened carefully in the lecture, otherwise this homework would have been much more difficult!",They must have taught this in the lecture you skipped because you were out fighting crime... ,,,,-10,0,0,5,0,120,-10,0,0,-5,0,120,,,,,,,,,,,,,0,0,0,-10,0,0
Uni,Attend Lecture,1:00:00,"Although not mandatory, the lectures are extremely helpful and provide a significant amount of the knowledge required to pass.",Go and pay attention to the lecturer.,You listen to every word spoken carefully and take detailed and organized notes.,You were up all night fighting crime and were just too exhausted to pay attention.,,,,-10,0,0,5,0,60,-15,0,0,-5,0,60,,,,,,,,,,,,,0,0,0,-5,0,0
Uni,Study,0,"There is always something to catch up on. You should put some Uni work in, so you stay on top of things.","Work for 2 hours, catch up on some reading to be done.",It's an interesting read and you make good progress. Reminds you why you chose this course.,"You have trouble concentrating on the text, your mind wonders on other problems. After you finish, you don't remember too much of what you read.",,,,-10,0,0,10,0,120,-10,0,0,5,0,120,,,,,,,,,,,,,0,0,0,0,0,0
